ID	bowtie_unpair_profiled_S101G	bowtie_unpair_profiled_S101T	bowtie_unpair_profiled_S102G	bowtie_unpair_profiled_S102T	bowtie_unpair_profiled_S103G	bowtie_unpair_profiled_S103T	bowtie_unpair_profiled_S104G	bowtie_unpair_profiled_S104T	bowtie_unpair_profiled_S105G	bowtie_unpair_profiled_S105T	bowtie_unpair_profiled_S106G	bowtie_unpair_profiled_S106T	bowtie_unpair_profiled_S107G	bowtie_unpair_profiled_S107T	bowtie_unpair_profiled_S108G	bowtie_unpair_profiled_S108T	bowtie_unpair_profiled_S109G	bowtie_unpair_profiled_S109T	bowtie_unpair_profiled_S110G	bowtie_unpair_profiled_S110T	bowtie_unpair_profiled_S111G	bowtie_unpair_profiled_S111T	bowtie_unpair_profiled_S112G	bowtie_unpair_profiled_S112T	bowtie_unpair_profiled_S113G	bowtie_unpair_profiled_S113T	bowtie_unpair_profiled_S114G	bowtie_unpair_profiled_S114T	bowtie_unpair_profiled_S115G	bowtie_unpair_profiled_S115T	bowtie_unpair_profiled_S116G	bowtie_unpair_profiled_S116T	bowtie_unpair_profiled_S201G	bowtie_unpair_profiled_S201T	bowtie_unpair_profiled_S202G	bowtie_unpair_profiled_S202T	bowtie_unpair_profiled_S203G	bowtie_unpair_profiled_S203T	bowtie_unpair_profiled_S204G	bowtie_unpair_profiled_S204T	bowtie_unpair_profiled_S205G	bowtie_unpair_profiled_S205T	bowtie_unpair_profiled_S206G	bowtie_unpair_profiled_S206T	bowtie_unpair_profiled_S207G	bowtie_unpair_profiled_S207T	bowtie_unpair_profiled_S208G	bowtie_unpair_profiled_S208T	bowtie_unpair_profiled_S301G	bowtie_unpair_profiled_S301T	bowtie_unpair_profiled_S302G	bowtie_unpair_profiled_S302T	bowtie_unpair_profiled_S303G	bowtie_unpair_profiled_S303T	bowtie_unpair_profiled_S304G	bowtie_unpair_profiled_S304T	bowtie_unpair_profiled_S305G	bowtie_unpair_profiled_S305T	bowtie_unpair_profiled_S306G	bowtie_unpair_profiled_S306T	bowtie_unpair_profiled_S307G	bowtie_unpair_profiled_S307T	bowtie_unpair_profiled_S308G	bowtie_unpair_profiled_S308T	bowtie_unpair_profiled_S309G	bowtie_unpair_profiled_S309T	bowtie_unpair_profiled_S310G	bowtie_unpair_profiled_S310T	bowtie_unpair_profiled_S311G	bowtie_unpair_profiled_S311T	bowtie_unpair_profiled_S312G	bowtie_unpair_profiled_S312T	bowtie_unpair_profiled_S313G	bowtie_unpair_profiled_S313T	bowtie_unpair_profiled_S314G	bowtie_unpair_profiled_S314T	bowtie_unpair_profiled_S315G	bowtie_unpair_profiled_S315T	bowtie_unpair_profiled_S316G	bowtie_unpair_profiled_S316T
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_catoniae|t__GCF_000318215	0.0	0.01353	0.0	0.0	0.0	0.02456	0.0	0.0	0.0	0.0084	0.0	0.00234	0.0	0.0	0.0	0.00278	0.0	0.00573	0.0	0.00685	0.0	0.0	0.0	0.0	0.0	0.00094	0.0	0.0198	0.03775	0.01805	0.10327	0.46629	0.0	0.0005	0.0	0.02077	0.0	0.0	0.0	0.00405	0.0	0.0	0.0	0.01661	0.00403	0.00066	0.0	0.0	0.0	0.00043	0.0	0.0	0.0	0.01207	0.0	0.0	0.0	0.02563	0.0	0.0071	0.0	0.0	0.0	0.01861	0.0	0.00494	0.0	0.0	0.0	0.00499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00821	0.0	0.00703
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis	0.0	4.71864	0.25803	1.59165	2.60498	0.74571	0.10392	0.60405	0.0	0.23758	1.73626	0.30929	0.0	0.0077	2.57939	2.11325	0.0	0.98119	0.0	0.04058	0.0688	0.01386	2.14668	0.0697	0.49213	0.28313	0.47645	1.43187	2.34119	0.12114	0.0	0.0	2.37443	1.61793	0.94347	0.67724	0.0	0.00047	0.94692	0.05999	2.80379	0.48902	2.85785	0.05234	2.28464	1.44863	0.30432	0.02854	0.0	0.17072	0.0	0.01171	0.0	0.00325	1.56585	0.31469	0.0	0.65429	0.0	0.03099	1.07408	0.49244	0.42919	0.04002	1.40712	1.5215	0.33604	0.89995	0.18282	0.23042	1.96135	2.61818	2.10425	3.6856	1.35174	0.09573	0.75642	0.07681	0.04123	0.04868
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis|t__GCF_000174815	0.0	4.71864	0.25803	1.59165	2.60498	0.74571	0.10392	0.60405	0.0	0.23758	1.73626	0.30929	0.0	0.0077	2.57939	2.11325	0.0	0.98119	0.0	0.04058	0.0688	0.01386	2.14668	0.0697	0.49213	0.28313	0.47645	1.43187	2.34119	0.12114	0.0	0.0	2.37443	1.61793	0.94347	0.67724	0.0	0.00047	0.94692	0.05999	2.80379	0.48902	2.85785	0.05234	2.28464	1.44863	0.30432	0.02854	0.0	0.17072	0.0	0.01171	0.0	0.00325	1.56585	0.31469	0.0	0.65429	0.0	0.03099	1.07408	0.49244	0.42919	0.04002	1.40712	1.5215	0.33604	0.89995	0.18282	0.23042	1.96135	2.61818	2.10425	3.6856	1.35174	0.09573	0.75642	0.07681	0.04123	0.04868
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis	0.13886	0.1338	0.0	0.2979	2.73896	0.05525	5.35961	0.00105	0.0	0.0	0.53295	0.08315	0.16273	0.0087	1.59628	0.02614	0.0	0.04406	0.0	0.00452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.87622	0.06996	0.0	0.00262	0.0	0.0	1.62249	0.04985	15.34171	0.67007	0.0	0.03661	0.9249	0.19893	0.0	0.01463	0.0	0.0	0.0	0.0	0.0	0.0	3.70131	0.13756	0.0	0.09797	0.0	0.0	1.61287	0.43822	0.19791	0.01751	6.79103	2.7746	1.16234	0.03194	19.21226	0.57137	0.0	0.0	0.68263	0.04396	0.11554	0.0	0.13192	0.03448	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis|t__Porphyromonas_gingivalis_unclassified	0.13886	0.1338	0.0	0.2979	2.73896	0.05525	5.35961	0.00105	0.0	0.0	0.53295	0.08315	0.16273	0.0087	1.59628	0.02614	0.0	0.04406	0.0	0.00452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.87622	0.06996	0.0	0.00262	0.0	0.0	1.62249	0.04985	15.34171	0.67007	0.0	0.03661	0.9249	0.19893	0.0	0.01463	0.0	0.0	0.0	0.0	0.0	0.0	3.70131	0.13756	0.0	0.09797	0.0	0.0	1.61287	0.43822	0.19791	0.01751	6.79103	2.7746	1.16234	0.03194	19.21226	0.57137	0.0	0.0	0.68263	0.04396	0.11554	0.0	0.13192	0.03448	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_278	0.0	0.10853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59107	0.0	0.0	0.0	0.15195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_278|t__GCF_000467855	0.0	0.10853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59107	0.0	0.0	0.0	0.15195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_279	0.0	7.71676	0.0	0.4554	0.0	18.02812	0.0	0.61644	0.0	2.17918	0.0	3.78028	0.0	2.74277	3.47027	3.67785	0.0	5.60434	0.0	1.18911	0.0	0.08729	0.0	2.99797	0.0	10.16668	4.52917	4.52199	3.34758	10.83988	0.72657	1.16341	0.0	14.31505	0.0	8.67432	0.0	1.66227	0.0	3.05247	0.0	0.0	0.0	12.72961	1.72841	0.96214	0.0	1.02091	0.0	0.191	0.0	0.15722	0.0	0.27624	0.0	0.12513	0.0	8.93759	0.0	12.13463	0.0	0.43677	0.0	0.2314	0.0	0.78918	0.0	1.1157	0.0	0.16498	2.3049	0.98903	8.60808	6.67528	0.0	0.0	1.72798	1.7388	0.0	0.45979
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_279|t__GCF_000292995	0.0	7.71676	0.0	0.4554	0.0	18.02812	0.0	0.61644	0.0	2.17918	0.0	3.78028	0.0	2.74277	3.47027	3.67785	0.0	5.60434	0.0	1.18911	0.0	0.08729	0.0	2.99797	0.0	10.16668	4.52917	4.52199	3.34758	10.83988	0.72657	1.16341	0.0	14.31505	0.0	8.67432	0.0	1.66227	0.0	3.05247	0.0	0.0	0.0	12.72961	1.72841	0.96214	0.0	1.02091	0.0	0.191	0.0	0.15722	0.0	0.27624	0.0	0.12513	0.0	8.93759	0.0	12.13463	0.0	0.43677	0.0	0.2314	0.0	0.78918	0.0	1.1157	0.0	0.16498	2.3049	0.98903	8.60808	6.67528	0.0	0.0	1.72798	1.7388	0.0	0.45979
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03014	0.02561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00488	0.0	0.0	0.0	0.0	0.02874	0.02834	0.0	0.0	0.0	0.0	0.0	0.00581
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis|t__GCF_000174775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03014	0.02561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00488	0.0	0.0	0.0	0.0	0.02874	0.02834	0.0	0.0	0.0	0.0	0.0	0.00581
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Tannerella	0.0	0.06278	0.0	0.04964	0.0	0.02378	0.0	0.00091	0.0	0.00877	0.0	0.02752	0.0	0.00419	0.0	0.00424	0.0	0.01568	0.0	0.00359	0.0	0.0036	0.12203	0.0	0.0	0.0	0.0	0.00035	1.27181	0.03141	0.0	0.0	0.45408	0.05613	0.0	0.01242	0.0	0.0	0.15503	0.01795	3.02889	0.28973	0.0	0.02144	0.31498	0.05165	0.0	0.00718	0.0	0.02915	0.0	0.0019	0.0	0.00158	0.4184	0.01281	0.0	0.01676	0.0	0.0	0.5261	0.14042	0.0	0.00434	2.63771	0.41092	0.0	0.01893	2.0723	0.14208	0.12711	0.00494	0.23369	0.01378	0.02051	0.0	0.02582	0.00866	0.26205	0.00856
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Tannerella|s__Tannerella_forsythia	0.0	0.06278	0.0	0.04964	0.0	0.02378	0.0	0.00091	0.0	0.00877	0.0	0.02752	0.0	0.00419	0.0	0.00424	0.0	0.01568	0.0	0.00359	0.0	0.0036	0.12203	0.0	0.0	0.0	0.0	0.00035	1.27181	0.03141	0.0	0.0	0.45408	0.05613	0.0	0.01242	0.0	0.0	0.15503	0.01795	3.02889	0.28973	0.0	0.02144	0.31498	0.05165	0.0	0.00718	0.0	0.02915	0.0	0.0019	0.0	0.00158	0.4184	0.01281	0.0	0.01676	0.0	0.0	0.5261	0.14042	0.0	0.00434	2.63771	0.41092	0.0	0.01893	2.0723	0.14208	0.12711	0.00494	0.23369	0.01378	0.02051	0.0	0.02582	0.00866	0.26205	0.00856
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Tannerella|s__Tannerella_forsythia|t__GCF_000238215	0.0	0.06278	0.0	0.04964	0.0	0.02378	0.0	0.00091	0.0	0.00877	0.0	0.02752	0.0	0.00419	0.0	0.00424	0.0	0.01568	0.0	0.00359	0.0	0.0036	0.12203	0.0	0.0	0.0	0.0	0.00035	1.27181	0.03141	0.0	0.0	0.45408	0.05613	0.0	0.01242	0.0	0.0	0.15503	0.01795	3.02889	0.28973	0.0	0.02144	0.31498	0.05165	0.0	0.00718	0.0	0.02915	0.0	0.0019	0.0	0.00158	0.4184	0.01281	0.0	0.01676	0.0	0.0	0.5261	0.14042	0.0	0.00434	2.63771	0.41092	0.0	0.01893	2.0723	0.14208	0.12711	0.00494	0.23369	0.01378	0.02051	0.0	0.02582	0.00866	0.26205	0.00856
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	10.20402	26.4577	31.70627	53.51494	14.6616	21.97314	50.6065	42.27139	17.44844	53.55014	28.22093	35.82034	23.00626	24.44301	37.34996	35.76189	17.71917	35.81858	16.35308	57.13715	39.29114	61.29382	35.10094	51.77878	14.02765	45.71481	10.01234	29.61843	50.82314	29.93839	72.04197	37.01096	25.70336	15.29031	34.23322	38.84412	0.0	45.14612	34.02614	37.48291	33.42768	26.71423	32.68804	30.88159	48.15983	47.50556	21.9561	58.00118	11.07549	41.33571	0.0	52.05335	5.44879	67.83932	42.79895	61.66142	0.11036	3.26235	2.85182	30.43539	53.82476	55.36523	21.78927	53.81337	12.16409	43.14093	32.59614	50.88499	22.97711	65.22438	43.861	53.72759	17.91752	22.37686	28.61224	55.7641	15.14849	36.62659	0.13866	36.75634
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella	4.29476	8.69857	2.9675	8.73877	8.269	5.10759	12.69756	4.15715	10.1782	7.8115	1.77813	0.63624	6.56465	2.20669	15.87302	9.1085	9.50699	3.58886	4.23901	5.82936	3.15778	0.15201	5.36044	1.45336	3.48655	2.98167	0.1039	1.80367	13.67069	2.23368	4.9982	0.89079	5.63339	0.3989	6.71092	0.51454	0.0	0.00604	1.01402	0.10857	6.09421	0.1643	7.57258	0.28927	5.23997	2.318	1.42483	0.94384	0.0	0.07655	0.0	0.45388	0.0	0.99008	3.79169	0.96967	0.0	0.19033	2.04261	0.03333	6.10904	2.13859	6.49226	2.00371	0.86406	0.52788	7.2972	8.33096	8.88861	4.89186	9.16102	10.4175	2.25017	2.679	1.69765	0.87415	2.11982	0.86099	0.11053	4.63264
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_rava	0.0	0.5565	0.28918	2.68547	0.0	0.07282	3.54386	2.93381	0.86461	4.10445	0.09152	0.01368	2.48891	0.65395	3.65191	1.54555	0.0	0.08625	0.0	3.51397	0.0	0.13905	0.0	0.00232	0.02473	0.6061	0.0	0.24522	1.96918	0.54121	0.0	0.0	0.14778	0.1889	0.0	0.09229	0.0	0.00231	0.03029	0.09325	0.25246	0.0265	0.0	0.01886	1.0295	0.89517	0.0	0.88073	0.0	0.06621	0.0	0.44147	0.0	0.90613	0.09033	0.67673	0.0	0.0333	0.0	0.00299	4.17421	1.99252	0.0	0.95173	0.0	0.22759	0.0	1.45191	0.0	1.21493	1.01543	1.55598	0.2739	0.40523	0.59344	0.86617	0.78792	0.76552	0.0	0.18641
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_rava|t__GCF_000234115	0.0	0.5565	0.28918	2.68547	0.0	0.07282	3.54386	2.93381	0.86461	4.10445	0.09152	0.01368	2.48891	0.65395	3.65191	1.54555	0.0	0.08625	0.0	3.51397	0.0	0.13905	0.0	0.00232	0.02473	0.6061	0.0	0.24522	1.96918	0.54121	0.0	0.0	0.14778	0.1889	0.0	0.09229	0.0	0.00231	0.03029	0.09325	0.25246	0.0265	0.0	0.01886	1.0295	0.89517	0.0	0.88073	0.0	0.06621	0.0	0.44147	0.0	0.90613	0.09033	0.67673	0.0	0.0333	0.0	0.00299	4.17421	1.99252	0.0	0.95173	0.0	0.22759	0.0	1.45191	0.0	1.21493	1.01543	1.55598	0.2739	0.40523	0.59344	0.86617	0.78792	0.76552	0.0	0.18641
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_tannerae	4.29476	8.14207	2.67832	5.94937	3.28741	1.09585	4.95248	1.22334	3.47914	3.53596	1.68661	0.62256	4.07574	1.55275	12.22111	7.56295	2.59346	2.70648	2.68047	2.31539	0.0	0.01296	5.36044	0.45484	3.46181	1.62825	0.07489	1.39368	11.7015	1.69246	4.9982	0.89079	0.91947	0.20999	0.74556	0.42225	0.0	0.002	0.98373	0.01533	2.14193	0.09753	1.0815	0.08027	3.13818	1.297	0.90581	0.06311	0.0	0.01034	0.0	0.01241	0.0	0.08395	0.0	0.29294	0.0	0.09055	0.0	0.02774	1.10135	0.14607	0.49858	1.05198	0.0	0.30029	3.667	6.87905	0.0	1.56814	3.57123	4.41172	1.97627	2.27377	1.10421	0.00799	1.17593	0.09548	0.0	4.44623
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_tannerae|t__GCF_000159995	4.29476	8.14207	2.67832	5.94937	3.28741	1.09585	4.95248	1.22334	3.47914	3.53596	1.68661	0.62256	4.07574	1.55275	12.22111	7.56295	2.59346	2.70648	2.68047	2.31539	0.0	0.01296	5.36044	0.45484	3.46181	1.62825	0.07489	1.39368	11.7015	1.69246	4.9982	0.89079	0.91947	0.20999	0.74556	0.42225	0.0	0.002	0.98373	0.01533	2.14193	0.09753	1.0815	0.08027	3.13818	1.297	0.90581	0.06311	0.0	0.01034	0.0	0.01241	0.0	0.08395	0.0	0.29294	0.0	0.09055	0.0	0.02774	1.10135	0.14607	0.49858	1.05198	0.0	0.30029	3.667	6.87905	0.0	1.56814	3.57123	4.41172	1.97627	2.27377	1.10421	0.00799	1.17593	0.09548	0.0	4.44623
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_unclassified	0.0	0.0	0.0	0.0	4.98159	3.83179	4.20123	0.0	5.83445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.91353	0.79613	1.55854	0.0	3.15778	0.0	0.0	0.99619	0.0	0.74732	0.02901	0.16477	0.0	0.0	0.0	0.0	4.56613	0.0	5.96536	0.0	0.0	0.00173	0.0	0.0	3.69981	0.04027	6.49108	0.19014	0.0	0.0	0.51902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.70135	0.0	0.0	0.06648	2.04261	0.00259	0.83348	0.0	5.99369	0.0	0.86406	0.0	3.63021	0.0	8.88861	2.10879	4.57435	4.4498	0.0	0.0	0.0	0.0	0.15597	0.0	0.11053	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Prevotella_sp_oral_taxon_473	0.0	0.0	0.0	0.10393	0.0	0.10712	0.0	0.0	0.0	0.17109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07229	0.12584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Prevotella_sp_oral_taxon_473|t__GCF_000318095	0.0	0.0	0.0	0.10393	0.0	0.10712	0.0	0.0	0.0	0.17109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07229	0.12584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00389	0.0	0.00289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00321	0.0	0.00602
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00389	0.0	0.00289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00321	0.0	0.00602
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	5.90926	17.75913	28.73877	44.77617	6.3926	16.86555	37.90894	38.11424	7.27024	45.73865	26.4428	35.1841	16.44161	22.23632	21.47694	26.65339	8.21218	32.22972	12.11407	51.30779	36.13337	61.14181	29.74049	50.32543	10.54111	42.73313	9.90844	27.81475	37.15245	27.70083	67.04377	36.11728	20.06997	14.89142	27.5223	38.32958	0.0	45.14008	33.01212	37.37434	27.33348	26.54992	25.11545	30.59232	42.91987	45.18756	20.53127	57.0563	11.07549	41.25916	0.0	51.59947	5.44879	66.84924	39.00726	60.69176	0.11036	3.07202	0.80921	30.40206	47.71573	53.22663	15.29701	51.80965	11.30003	42.61305	25.29894	42.55403	14.08849	60.33252	34.69998	43.31009	15.66735	19.69786	26.9146	54.88995	13.02867	35.76239	0.02813	32.11768
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Candidatus_Prevotella_conceptionensis	0.0	0.01935	0.0	0.02305	0.0	0.03106	0.0	0.00222	0.0	0.00394	0.0	0.00886	0.0	0.01016	0.0	0.0014	0.0	0.0088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00209	0.0	0.01408	0.03174	0.00223	0.08292	0.01787	0.0	0.00658	0.0	0.01437	0.0	0.0	0.0	0.00156	0.0	0.0135	0.0	0.00125	0.04519	0.02137	0.0	0.0	0.0	0.00672	0.0	0.0	0.0	0.0	0.0	0.01274	0.0	0.00046	0.0	0.00583	0.02479	0.00313	0.0	0.0	0.0	0.10336	0.0	0.01122	0.0	0.02381	0.0	0.00146	0.0	0.02522	0.0	0.0	0.0	0.0	0.0	0.00664
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Candidatus_Prevotella_conceptionensis|t__GCF_000312305	0.0	0.01935	0.0	0.02305	0.0	0.03106	0.0	0.00222	0.0	0.00394	0.0	0.00886	0.0	0.01016	0.0	0.0014	0.0	0.0088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00209	0.0	0.01408	0.03174	0.00223	0.08292	0.01787	0.0	0.00658	0.0	0.01437	0.0	0.0	0.0	0.00156	0.0	0.0135	0.0	0.00125	0.04519	0.02137	0.0	0.0	0.0	0.00672	0.0	0.0	0.0	0.0	0.0	0.01274	0.0	0.00046	0.0	0.00583	0.02479	0.00313	0.0	0.0	0.0	0.10336	0.0	0.01122	0.0	0.02381	0.0	0.00146	0.0	0.02522	0.0	0.0	0.0	0.0	0.0	0.00664
